Cenário,Linguagem,Cache,Usuários,Tamanho,Tempo Médio (ms),Min (ms),Max (ms),P95 (ms),RPS,Total Requisições,Falhas,Taxa de Falha (%)
Python com Cache,Python,Sim,80,Pequeno,16.6,4.6,51.0,31.7,36.4,7200,0,0.0
Python com Cache,Python,Sim,160,Médio,18.5,4.8,72.7,33.5,67.3,14400,0,0.0
Python com Cache,Python,Sim,300,Grande,21.6,4.4,117.9,41.2,110.6,26799,2058,7.68
Python sem Cache,Python,Não,80,Pequeno,1460.9,229.0,10607.5,3424.0,21.2,4196,0,0.0
Python sem Cache,Python,Não,160,Médio,4452.9,213.8,15698.0,7392.8,21.1,4517,0,0.0
Python sem Cache,Python,Não,300,Grande,8663.0,190.5,15460.8,13291.2,21.4,5179,0,0.0
Ruby com Cache,Ruby,Sim,80,Pequeno,19.9,6.1,57.2,36.0,36.4,7200,0,0.0
Ruby com Cache,Ruby,Sim,160,Médio,22.9,5.7,87.4,41.4,66.7,14263,0,0.0
Ruby com Cache,Ruby,Sim,300,Grande,30.0,5.5,231.9,64.5,110.7,26700,2012,7.54
Ruby sem Cache,Ruby,Não,80,Pequeno,18.7,5.6,57.0,34.5,36.4,7200,0,0.0
Ruby sem Cache,Ruby,Não,160,Médio,22.0,5.5,83.2,38.9,66.7,14288,0,0.0
Ruby sem Cache,Ruby,Não,300,Grande,27.0,5.6,157.8,51.9,110.9,26700,2040,7.64
